Animal_Name,Animal_Species,Latitude,Longitude
Emperor Goose,Anser canagicus,61.407,-165.531
Emperor Goose,Anser canagicus,61.395,-165.498
Emperor Goose,Anser canagicus,61.389,-165.446
Emperor Goose,Anser canagicus,61.394,-165.427
Emperor Goose,Anser canagicus,61.432,-165.647
Emperor Goose,Anser canagicus,61.41,-165.612
Emperor Goose,Anser canagicus,61.398,-165.473
Emperor Goose,Anser canagicus,61.413,-165.41
Emperor Goose,Anser canagicus,61.407,-165.431
Emperor Goose,Anser canagicus,61.447,-165.178
Emperor Goose,Anser canagicus,61.403,-165.428
Emperor Goose,Anser canagicus,61.325,-165.496
Emperor Goose,Anser canagicus,61.36,-165.434
Emperor Goose,Anser canagicus,61.373,-165.553
Emperor Goose,Anser canagicus,61.337,-165.457
Emperor Goose,Anser canagicus,61.387,-165.404
Emperor Goose,Anser canagicus,61.43,-165.486
Emperor Goose,Anser canagicus,61.379,-165.417
Emperor Goose,Anser canagicus,61.376,-165.428
Emperor Goose,Anser canagicus,61.363,-165.364
Emperor Goose,Anser canagicus,61.451,-165.513
Emperor Goose,Anser canagicus,61.361,-165.405
Emperor Goose,Anser canagicus,61.324,-165.277
Emperor Goose,Anser canagicus,61.734,-164.782
Emperor Goose,Anser canagicus,62.233,-168.23
Emperor Goose,Anser canagicus,61.443,-165.696
Emperor Goose,Anser canagicus,61.426,-165.465
Emperor Goose,Anser canagicus,61.388,-165.433
Emperor Goose,Anser canagicus,61.389,-165.429
Emperor Goose,Anser canagicus,61.391,-165.451
Emperor Goose,Anser canagicus,61.404,-165.419
Emperor Goose,Anser canagicus,61.401,-165.383
Emperor Goose,Anser canagicus,61.333,-165.745
Emperor Goose,Anser canagicus,61.397,-165.424
Emperor Goose,Anser canagicus,56.562,-159.752
Emperor Goose,Anser canagicus,56.582,-159.621
Emperor Goose,Anser canagicus,56.623,-159.509
Emperor Goose,Anser canagicus,56.545,-159.754
Emperor Goose,Anser canagicus,56.497,-159.993
Emperor Goose,Anser canagicus,56.397,-160.146
Emperor Goose,Anser canagicus,56.44,-160.042
Emperor Goose,Anser canagicus,55.878,-160.931
Emperor Goose,Anser canagicus,55.907,-161.008
Emperor Goose,Anser canagicus,55.857,-160.973
Emperor Goose,Anser canagicus,55.879,-160.998
Emperor Goose,Anser canagicus,55.888,-160.988
Emperor Goose,Anser canagicus,55.885,-160.931
Emperor Goose,Anser canagicus,55.691,-160.118
Emperor Goose,Anser canagicus,55.912,-160.965
Emperor Goose,Anser canagicus,55.906,-161.213
Emperor Goose,Anser canagicus,55.857,-160.96
Emperor Goose,Anser canagicus,55.881,-160.954
Emperor Goose,Anser canagicus,55.912,-160.989
Emperor Goose,Anser canagicus,55.867,-160.996
Emperor Goose,Anser canagicus,55.879,-160.967
Emperor Goose,Anser canagicus,55.873,-160.984
Emperor Goose,Anser canagicus,55.893,-161.077
Emperor Goose,Anser canagicus,55.874,-160.93
Emperor Goose,Anser canagicus,55.745,-160.234
Emperor Goose,Anser canagicus,55.881,-160.95
Emperor Goose,Anser canagicus,55.888,-160.951
Emperor Goose,Anser canagicus,55.712,-160.886
Emperor Goose,Anser canagicus,55.861,-160.992
Emperor Goose,Anser canagicus,55.977,-160.306
Emperor Goose,Anser canagicus,55.869,-160.963
Emperor Goose,Anser canagicus,55.899,-161.218
Emperor Goose,Anser canagicus,55.887,-160.929
Emperor Goose,Anser canagicus,55.805,-160.968
Emperor Goose,Anser canagicus,56.103,-161.453
Emperor Goose,Anser canagicus,55.827,-160.732
Emperor Goose,Anser canagicus,55.906,-160.973
Emperor Goose,Anser canagicus,55.903,-160.992
Emperor Goose,Anser canagicus,55.897,-161.09
Emperor Goose,Anser canagicus,55.898,-160.895
Emperor Goose,Anser canagicus,55.867,-161.079
Emperor Goose,Anser canagicus,55.874,-161.009
Emperor Goose,Anser canagicus,55.896,-160.934
Emperor Goose,Anser canagicus,55.902,-160.979
